year,country,skin,bladder,uterus,"colon, rectum and anus",breast,ovary,prostate,"trachea, bronchus and lung"
2014,Croatia,13.7,32.5,5.1,137.9,38.6,11.0,44.9,184.9
2014,Czechia,9.9,24.6,5.2,101.6,25.1,11.5,39.0,145.8
2014,Denmark,15.3,24.3,3.1,89.8,33.9,10.0,47.8,185.3
2014,Estonia,13.0,24.7,7.9,100.1,27.4,12.6,59.7,167.3
2014,Finland,11.399999999999999,12.6,1.6,59.7,23.3,9.7,35.3,105.8
2014,France,7.9,22.200000000000003,2.0,69.0,29.1,8.3,28.0,140.2
2014,Germany,9.399999999999999,17.8,2.9,75.5,31.1,9.4,33.6,139.0
2014,Greece,5.9,28.4,2.1,60.7,27.1,7.9,27.7,169.8
2014,Hungary,11.2,28.9,7.0,151.4,33.4,11.5,35.1,254.7
2014,Iceland,9.0,16.6,2.1,81.8,34.7,8.5,44.9,146.5
2014,Ireland,12.600000000000001,22.6,4.6,84.1,36.1,13.9,39.5,159.8
2014,Israel,10.5,21.7,3.0,68.0,31.8,9.3,19.6,108.19999999999999
2014,Italy,8.3,22.4,1.2,71.1,28.0,7.4,21.9,135.6
2014,Japan,1.1,12.4,3.5,78.1,15.0,5.4,14.4,120.5
2014,Korea,2.1,13.5,3.9,68.8,8.5,4.1,14.6,147.8
2014,Latvia,8.5,38.5,8.7,96.4,30.6,12.8,58.6,146.20000000000002
2014,Lithuania,8.2,24.6,9.7,91.5,25.5,13.4,48.8,141.1
2014,Luxembourg,10.7,24.6,2.9,67.30000000000001,29.9,11.1,24.9,156.89999999999998
2014,Mexico,3.3000000000000003,6.5,11.1,27.5,16.3,6.2,29.3,37.4
2014,Netherlands,14.1,21.4,2.1,85.6,30.9,10.6,36.7,179.4
2014,New Zealand,28.9,17.8,2.1,97.4,27.4,8.9,39.5,126.6
2014,Norway,19.6,20.1,2.3,94.6,23.9,11.0,54.6,132.7
2014,Peru,2.9000000000000004,5.9,11.0,29.1,11.8,4.1,31.0,40.2
2014,Poland,10.9,31.7,7.6,97.6,27.4,12.3,34.5,195.2
2014,Portugal,7.3,24.1,3.2,94.3,23.6,5.6,36.4,102.9
2014,Romania,6.1,24.8,15.2,87.6,28.6,9.1,28.5,153.39999999999998
2014,Russia,8.5,18.8,7.9,96.9,27.5,9.3,30.0,132.39999999999998
2014,Slovak Republic,14.399999999999999,29.0,7.9,134.4,31.4,11.0,48.4,143.4
2014,Slovenia,15.100000000000001,27.0,4.0,101.10000000000001,28.4,10.6,47.9,160.39999999999998
2014,South Africa,5.6,13.6,23.8,41.4,25.0,5.5,64.8,86.0
2014,Spain,6.2,28.8,2.1,89.4,21.1,7.0,26.5,133.1
2014,Sweden,14.3,19.5,2.4,75.6,23.7,9.6,50.9,100.4
2014,Switzerland,11.9,19.6,1.3,59.5,27.0,8.2,37.7,112.69999999999999
2014,Türkiye,3.5999999999999996,17.3,1.9,51.1,14.4,5.8,26.8,162.0
2014,United Kingdom,11.1,24.5,2.6,72.0,30.5,11.1,39.3,160.70000000000002
2014,United States,10.0,17.9,2.6,54.6,25.7,8.9,24.5,166.1
2015,Argentina,5.8,17.0,6.1,82.4,34.7,6.8,38.7,105.5
2015,Australia,21.3,16.299999999999997,2.0,61.4,24.8,7.9,34.6,118.8
2015,Austria,11.7,17.8,2.7,64.2,28.2,8.1,29.8,125.6
2015,Belgium,8.0,23.2,2.5,68.2,30.7,9.5,29.9,158.9
2015,Brazil,4.6,12.1,7.4,43.8,21.6,5.0,35.9,71.1
2015,Bulgaria,6.5,22.4,8.8,92.4,28.1,9.5,30.2,127.6
2015,Canada,9.3,19.200000000000003,2.1,71.7,25.9,9.8,27.6,170.3
2015,Chile,4.9,14.8,8.2,64.0,20.7,6.0,48.6,78.4
2015,Colombia,4.4,7.5,10.4,45.0,18.9,6.5,38.6,64.6
2015,Costa Rica,5.5,10.200000000000001,6.9,54.2,19.6,4.6,37.6,33.6
2015,Croatia,13.7,34.2,4.2,135.6,37.3,11.4,48.4,184.0
2015,Czechia,10.8,25.0,5.7,101.19999999999999,25.2,11.4,33.9,143.5
2015,Denmark,12.6,25.8,3.1,91.5,31.8,10.8,48.0,180.7
2015,Estonia,12.6,24.7,7.0,100.9,26.1,10.7,63.3,157.60000000000002
2015,France,7.8,22.6,2.0,71.0,29.1,8.3,30.5,140.4
2015,Germany,9.1,17.700000000000003,2.9,73.7,31.3,9.4,32.8,137.3
2015,Greece,6.2,29.2,2.0,60.5,28.0,7.8,27.9,169.5
2015,Hungary,10.6,30.299999999999997,8.0,147.7,34.6,11.3,35.2,250.9
2015,Iceland,6.9,16.4,2.6,76.3,35.6,9.4,47.1,125.0
2015,Ireland,10.9,21.6,4.0,85.1,32.7,13.1,37.4,149.8
2015,Israel,9.9,22.7,2.4,68.8,31.4,8.4,20.2,102.80000000000001
2015,Italy,7.8,22.1,1.1,70.9,27.7,7.5,21.5,135.8
2015,Japan,1.0,12.6,3.3,78.4,15.2,5.2,13.8,119.3
2015,Korea,2.0999999999999996,12.3,3.8,65.7,8.7,4.1,14.0,139.5
2015,Latvia,11.5,35.7,9.3,95.9,31.4,14.9,55.4,135.6
2015,Lithuania,9.6,25.1,11.1,94.7,28.6,13.7,50.4,142.5
2015,Luxembourg,7.3,19.2,3.3,65.2,32.5,11.7,27.8,134.9
2015,Mexico,3.4000000000000004,6.1,10.5,29.0,16.7,6.3,29.2,37.1
2015,Netherlands,13.9,21.3,2.2,86.9,33.0,10.1,36.8,176.3
2015,New Zealand,28.299999999999997,18.3,2.4,94.3,29.6,9.2,38.2,132.6
